Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2018-04-10,0.15,99,London N. Kensington,-0.213492,51.52105
2018-04-11,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-12,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-13,0.14,99,London N. Kensington,-0.213492,51.52105
2018-04-14,0.22,99,London N. Kensington,-0.213492,51.52105
2018-04-15,0.16,99,London N. Kensington,-0.213492,51.52105
2018-04-16,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-17,0.1,99,London N. Kensington,-0.213492,51.52105
2018-04-18,0.2,99,London N. Kensington,-0.213492,51.52105
2018-04-19,0.22,99,London N. Kensington,-0.213492,51.52105
2018-04-20,0.17,99,London N. Kensington,-0.213492,51.52105
2018-04-21,0.18,99,London N. Kensington,-0.213492,51.52105
2018-04-22,0.16,99,London N. Kensington,-0.213492,51.52105
2018-04-23,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-24,0.1,99,London N. Kensington,-0.213492,51.52105
2018-04-25,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-26,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-27,0.16,99,London N. Kensington,-0.213492,51.52105
2018-04-28,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-29,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-30,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-01,0.12,99,London N. Kensington,-0.213492,51.52105
2018-05-02,0.14,99,London N. Kensington,-0.213492,51.52105
2018-05-03,0.15,99,London N. Kensington,-0.213492,51.52105
2018-05-04,0.13,99,London N. Kensington,-0.213492,51.52105
2018-05-05,0.17,99,London N. Kensington,-0.213492,51.52105
2018-05-06,0.14,99,London N. Kensington,-0.213492,51.52105
2018-05-07,0.23,99,London N. Kensington,-0.213492,51.52105
2018-05-08,0.22,99,London N. Kensington,-0.213492,51.52105
2018-05-09,0.12,99,London N. Kensington,-0.213492,51.52105
2018-05-10,0.12,99,London N. Kensington,-0.213492,51.52105
2018-05-11,0.12,99,London N. Kensington,-0.213492,51.52105
2018-05-12,0.12,99,London N. Kensington,-0.213492,51.52105
2018-05-13,0.17,99,London N. Kensington,-0.213492,51.52105
2018-05-14,0.13,99,London N. Kensington,-0.213492,51.52105
2018-05-15,0.13,99,London N. Kensington,-0.213492,51.52105
2018-05-16,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-17,0.089,99,London N. Kensington,-0.213492,51.52105
2018-05-18,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-19,0.17,99,London N. Kensington,-0.213492,51.52105
2018-05-20,0.14,99,London N. Kensington,-0.213492,51.52105
2018-05-21,0.17,99,London N. Kensington,-0.213492,51.52105
2018-05-22,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-23,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-24,0.15,99,London N. Kensington,-0.213492,51.52105
2018-05-25,0.18,99,London N. Kensington,-0.213492,51.52105
2018-05-26,0.13,99,London N. Kensington,-0.213492,51.52105
2018-05-27,0.15,99,London N. Kensington,-0.213492,51.52105
2018-05-28,0.15,99,London N. Kensington,-0.213492,51.52105
2018-05-29,0.11,99,London N. Kensington,-0.213492,51.52105
2018-05-30,0.2,99,London N. Kensington,-0.213492,51.52105
2018-05-31,0.18,99,London N. Kensington,-0.213492,51.52105
2018-06-01,0.14,99,London N. Kensington,-0.213492,51.52105
2018-06-02,0.14,99,London N. Kensington,-0.213492,51.52105
2018-06-03,0.17,99,London N. Kensington,-0.213492,51.52105
2018-06-04,0.13,99,London N. Kensington,-0.213492,51.52105
2018-06-05,0.092,99,London N. Kensington,-0.213492,51.52105
2018-06-06,0.11,99,London N. Kensington,-0.213492,51.52105
2018-06-07,0.13,99,London N. Kensington,-0.213492,51.52105
2018-06-08,0.11,99,London N. Kensington,-0.213492,51.52105
